DATE,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,VOLUME,DAILY_RETURN,MA_7,52W_HIGH,52W_LOW,VOLATILITY
2025-04-28,ABBOTINDIA,EQ,29450.0,29945.0,29450.0,29780.0,4970,0.011205432937181663,,31400.0,29430.0,0.01369426183760551
2025-04-29,ABBOTINDIA,EQ,29810.0,30145.0,29565.0,30100.0,5450,0.009728279100972828,,31400.0,29430.0,0.01369426183760551
2025-04-30,ABBOTINDIA,EQ,30000.0,30100.0,29700.0,29985.0,3754,-0.0005,30159.285714285714,31400.0,29430.0,0.01369426183760551
2025-04-22,ABCAPITAL,EQ,203.0,206.99,202.65,203.82,5509241,0.00403940886699504,,208.8,194.0,0.019879458465077778
2025-04-23,ABCAPITAL,EQ,204.95,208.8,200.5,207.98,4082754,0.01478409368138571,,208.8,194.0,0.019879458465077778
2025-04-24,ABCAPITAL,EQ,207.01,208.23,202.02,203.1,3596167,-0.018887976426259584,,208.8,194.0,0.019879458465077778
2025-04-25,ABCAPITAL,EQ,202.73,204.2,194.0,195.94,5773192,-0.03349282296650714,,208.8,194.0,0.019879458465077778
2025-04-28,ABCAPITAL,EQ,195.0,200.95,195.0,199.42,3069376,0.022666666666666602,,208.8,194.0,0.019879458465077778
2025-04-29,ABCAPITAL,EQ,201.0,203.0,199.1,199.71,3138260,-0.006417910447761154,,208.8,194.0,0.019879458465077778
2025-04-30,ABCAPITAL,EQ,199.6,199.7,195.22,196.36,2527340,-0.016232464929859622,200.9042857142857,208.8,194.0,0.019879458465077778
2025-04-22,ABDL,EQ,328.0,332.25,322.2,330.1,381369,0.006402439024390313,,339.9,305.9,0.013780376245210012
2025-04-23,ABDL,EQ,339.9,339.9,326.05,333.1,445473,-0.020005884083553853,,339.9,305.9,0.013780376245210012
2025-04-24,ABDL,EQ,333.05,335.7,324.55,325.7,258273,-0.022068758444678045,,339.9,305.9,0.013780376245210012
2025-04-25,ABDL,EQ,327.0,328.55,314.8,321.15,496528,-0.017889908256880804,,339.9,305.9,0.013780376245210012
2025-04-28,ABDL,EQ,318.75,321.0,312.55,318.05,653291,-0.0021960784313725134,,339.9,305.9,0.013780376245210012
2025-04-29,ABDL,EQ,323.0,324.5,313.75,315.05,199996,-0.024613003095975198,,339.9,305.9,0.013780376245210012
2025-04-30,ABDL,EQ,318.0,318.0,305.9,307.25,322134,-0.03380503144654088,321.4857142857143,339.9,305.9,0.013780376245210012
2025-04-22,ABFRL,EQ,269.15,275.0,266.3,271.95,1891444,0.010403120936280928,,278.55,260.15,0.02383496206704884
2025-04-23,ABFRL,EQ,273.5,275.7,268.5,272.9,1452833,-0.002193784277879425,,278.55,260.15,0.02383496206704884
2025-04-24,ABFRL,EQ,273.0,275.0,271.25,273.2,1102489,0.000732600732600691,,278.55,260.15,0.02383496206704884
2025-04-25,ABFRL,EQ,273.0,274.7,260.15,264.15,2836519,-0.032417582417582504,,278.55,260.15,0.02383496206704884
2025-04-28,ABFRL,EQ,263.9,276.4,263.8,273.8,4459037,0.03751420992800317,,278.55,260.15,0.02383496206704884
2025-04-29,ABFRL,EQ,273.8,278.55,266.5,268.2,2695954,-0.020452885317750264,,278.55,260.15,0.02383496206704884
2025-04-30,ABFRL,EQ,269.85,270.25,261.5,263.55,1990813,-0.023346303501945564,269.67857142857144,278.55,260.15,0.02383496206704884
2025-04-22,ABGSEC,EQ,109.16,109.89,109.15,109.23,1140,0.0006412605349945712,,110.09,108.91,0.0027353443553726864
2025-04-23,ABGSEC,EQ,109.43,109.85,109.3,109.32,13630,-0.0010052088092845986,,110.09,108.91,0.0027353443553726864
2025-04-24,ABGSEC,EQ,109.35,109.82,109.34,109.44,864,0.0008230452674897431,,110.09,108.91,0.0027353443553726864
2025-04-25,ABGSEC,EQ,109.44,109.57,109.44,109.57,15,0.001187865497075982,,110.09,108.91,0.0027353443553726864
2025-04-28,ABGSEC,EQ,109.57,109.74,108.91,109.07,250,-0.004563292872136534,,110.09,108.91,0.0027353443553726864
2025-04-29,ABGSEC,EQ,109.22,110.09,109.11,109.21,436,-9.155832265157586e-05,,110.09,108.91,0.0027353443553726864
2025-04-30,ABGSEC,EQ,109.37,109.9,109.37,109.87,7,0.004571637560574197,109.38714285714286,110.09,108.91,0.0027353443553726864
2025-04-22,ABINFRA,EQ,82.89,84.09,77.71,79.74,37108,-0.03800217155266022,,93.01,77.05,0.059694893424704576
2025-04-23,ABINFRA,EQ,81.9,81.9,77.05,78.37,40975,-0.043101343101343115,,93.01,77.05,0.059694893424704576
2025-04-24,ABINFRA,EQ,77.19,87.9,77.19,83.76,251253,0.08511465215701526,,93.01,77.05,0.059694893424704576
2025-04-25,ABINFRA,EQ,85.89,90.4,81.5,82.5,260106,-0.03946908836884388,,93.01,77.05,0.059694893424704576
2025-04-28,ABINFRA,EQ,85.0,85.93,82.0,83.08,115781,-0.022588235294117666,,93.01,77.05,0.059694893424704576
2025-04-29,ABINFRA,EQ,82.7,84.99,80.1,80.43,118525,-0.027448609431680725,,93.01,77.05,0.059694893424704576
2025-04-30,ABINFRA,EQ,81.65,93.01,81.65,88.96,1996134,0.08952847519902006,82.4057142857143,93.01,77.05,0.059694893424704576
2025-04-22,ABMINTLLTD,EQ,49.94,51.19,49.94,50.34,1178,0.008009611533840723,,55.77,47.3,0.02510628636585171
2025-04-23,ABMINTLLTD,EQ,50.34,50.84,49.09,50.83,104,0.009733810091378524,,55.77,47.3,0.02510628636585171
2025-04-24,ABMINTLLTD,EQ,49.56,50.91,49.56,50.7,514,0.023002421307506064,,55.77,47.3,0.02510628636585171
2025-04-25,ABMINTLLTD,EQ,50.7,55.77,47.3,52.91,6277,0.04358974358974346,,55.77,47.3,0.02510628636585171
2025-04-28,ABMINTLLTD,EQ,53.87,53.87,51.66,52.9,933,-0.01800631149062556,,55.77,47.3,0.02510628636585171
2025-04-29,ABMINTLLTD,EQ,51.0,52.99,50.0,50.03,369,-0.01901960784313723,,55.77,47.3,0.02510628636585171
2025-04-30,ABMINTLLTD,EQ,52.95,52.99,51.67,51.67,414,-0.02417374881964119,51.339999999999996,55.77,47.3,0.02510628636585171
2025-04-22,ABREL,EQ,1925.0,1957.6,1908.9,1925.1,121720,5.19480519480047e-05,,2026.8,1871.0,0.022942262470039266
